TempoSemProducao Pressao
0.005 181.72
0.100 189.39
0.150 195.50
0.200 200.42
0.250 204.42
0.500 216.17
0.750 221.32
1.000 224.00
2.000 228.18
3.500 230.51
5.000 231.78
8.000 233.26
12.00 234.38
16.00 235.07
24.00 235.92
