TempoSemProducao Pressao
1.97 3169.0 
2.95 3508.0
3.94 3672.0
4.92 3772.0
5.91 3873.0
7.88 3963.0
9.86 4026.0
14.8 4133.0
19.7 4198.0
24.6 4245.0
29.6 4279.0
34.5 4306.0
39.4 4327.0
44.4 4343.0
49.3 4356.0
59.1 4375.0
