TempoSemProducao Pressao
0.002 0.589
0.004 0.635
0.006 0.678
0.008 0.717
0.010 0.760
0.013 0.820
0.016 0.862
0.020 0.893
0.024 0.910
0.030 0.921
0.036 0.928
0.045 0.940
0.055 0.950
0.070 0.959
0.090 0.966
0.120 0.973
0.150 0.976
0.200 0.981
0.300 0.988
0.400 0.991
0.500 0.992
0.700 0.9945
0.900 0.9975
1.120 1.0005
1.150 1.002
2.000 1.003
2.381 1.0035
